region;language;types;count
SUHH;uz;imdbDisplay;5
JP;en;festival;117
NO;\N;dvd;107
BE;fr;dvd;24
TH;en;imdbDisplay;121
CH;fr;video;3
XWW;cmn;imdbDisplay;9
JP;ja;original;1
VN;\N;working;10
EC;\N;festival;3
DE;de;working;4
PW;\N;\N;1
US;en;\N;1685
GR;\N;dvd;4238
CO;\N;\N;4074
CZ;\N;dvd;74
KR;\N;alternative;317
CM;fr;imdbDisplay;56
IT;it;alternative;4
BW;\N;\N;18
KR;ko;imdbDisplay;1
\N;\N;working;11763
UA;\N;alternative;387
PT;\N;working;119
VDVN;\N;\N;36
PH;en;video;8
CM;\N;\N;136
XWW;en;original;3
SC;\N;\N;6
KR;\N;festival;23
RU;\N;alternativeworking;1
AT;de;\N;13
CN;cmn;original;1
XSA;es;working;1
BG;bg;alternative;173
IE;en;imdbDisplay;3795
FR;fr;\N;2780681
SV;\N;tv;1
ZA;en;working;19
GR;\N;alternative;1246
PL;\N;tv;261
BE;\N;alternative;45
NZ;mi;alternative;2
NL;nl;imdbDisplay;290
CA;fr;video;164
EG;en;imdbDisplay;69
TR;tr;imdbDisplayworking;28
AU;\N;dvd;583
CR;\N;\N;526
DZ;ar;alternative;18
XYU;mk;working;1
LV;lv;\N;1
XWW;sr;\N;1
FR;\N;alternative;4036
CH;\N;\N;8346
GR;el;imdbDisplay;26
YUCS;qbo;\N;5
SI;\N;working;23
ES;gl;tv;7
BJ;\N;\N;22
DDDE;\N;video;1
SK;sk;imdbDisplay;3
XWW;vi;imdbDisplay;1
IL;en;tv;1
GB;\N;\N;213757
CA;en;working;575
CL;\N;imdbDisplay;3598
EG;ar;alternative;30
EG;en;\N;85
CR;\N;alternative;14
SUHH;ru;festivalimdbDisplay;1
AF;prs;alternative;1
CSHH;\N;imdbDisplay;580
AR;\N;tv;95
JP;ja;dvd;288
RS;\N;alternative;484
TH;en;alternative;53
PY;es;\N;12
SUHH;lv;\N;14
JM;\N;\N;253
ID;en;video;3
LT;lt;\N;2
LV;\N;festival;4
US;\N;dvdworking;1
CN;yue;video;1
AT;en;imdbDisplay;1
NO;\N;alternative;801
BR;\N;tv;488
IT;\N;festival;190
CSHH;\N;working;101
TM;\N;imdbDisplay;9
MX;\N;festival;53
SN;wo;\N;1
ZA;st;alternative;1
XYU;sl;imdbDisplay;804
AR;\N;video;771
ES;es;\N;2780633
MY;en;\N;90
NI;\N;\N;100
US;\N;dvdvideo;1
AM;hy;\N;1
CL;\N;alternative;87
KH;\N;\N;239
MX;es;\N;24
GB;en;video;1
IL;yi;imdbDisplay;1
TH;en;festival;1
BE;nl;\N;81
SE;\N;festival;353
CN;\N;\N;11561
SUHH;ru;working;48
XYU;sr;alternative;29
BA;bs;imdbDisplay;266
SE;en;imdbDisplay;6
KR;\N;video;17
SE;sv;\N;5
PE;es;imdbDisplay;5
PK;ps;\N;5
IN;kn;alternative;11
AL;\N;dvd;6
PH;\N;alternative;1
CA;la;alternative;1
DM;\N;\N;15
LB;ar;dvd;1
ES;qbp;festival;1
BA;bs;festival;1
PA;\N;imdbDisplay;246
DE;de;\N;2780648
ES;es;imdbDisplay;49
ZA;af;imdbDisplay;18
XAS;en;video;9
US;en;dvd;6
XYU;sr;festival;2
MP;\N;\N;3
PE;\N;festival;1
DK;\N;imdbDisplay;21419
IL;he;\N;1079
AR;es;imdbDisplay;21
BR;en;imdbDisplay;4
CN;yue;working;3
NC;\N;\N;12
BUMM;\N;\N;45
BE;qbn;video;23
SK;\N;dvd;8
UZ;uz;imdbDisplay;1
CD;\N;\N;59
JP;en;video;133
XYU;hr;festival;1
IS;\N;festival;4
SZ;\N;\N;22
ZA;tn;\N;1
PT;\N;alternative;394
CU;\N;imdbDisplay;86
US;\N;festival;1031
XWG;\N;festival;43
SO;\N;\N;13
AF;en;imdbDisplay;2
CH;fr;dvd;3
PK;ur;working;4
ER;\N;\N;9
SUHH;az;\N;1
DE;en;working;1
XWW;ca;original;1
SUHH;\N;\N;1905
FR;qal;alternative;2
CG;\N;\N;40
PT;pt;alternative;1
MV;\N;\N;49
NG;en;alternative;7
SUHH;lt;working;1
TT;\N;\N;261
NL;\N;festival;67
PT;\N;imdbDisplay;30603
HK;en;\N;6609
XWG;de;\N;8
FI;fi;video;1
CO;\N;tv;2
IS;\N;tv;5
MX;\N;\N;50439
IE;en;\N;120
BA;hr;imdbDisplay;298
BG;bg;tv;4
ID;id;alternative;39
MK;mk;imdbDisplay;1
ES;en;imdbDisplay;3
CO;\N;festival;15
BD;en;working;2
TR;it;working;1
DE;fro;imdbDisplay;1
PR;es;\N;1
IR;fa;imdbDisplay;2073
TJ;\N;\N;40
MN;\N;alternative;8
PT;\N;video;211
ES;gl;alternative;8
XWG;de;tv;1
PK;\N;\N;2620
MW;\N;working;1
IN;hi;festival;1
NL;\N;imdbDisplay;3651
PT;pt;\N;2780602
CH;it;alternative;16
KW;\N;\N;280
SUHH;kk;alternative;1
ES;es;working;2
GB;\N;alternative;2806
CH;fr;imdbDisplay;196
IL;he;imdbDisplay;5845
PL;\N;video;96
BA;hr;alternative;24
SD;\N;\N;64
IN;ml;working;21
DE;\N;festival;378
BO;\N;imdbDisplay;90
BE;\N;imdbDisplay;192
PH;en;alternative;166
ID;en;imdbDisplay;66
RU;ru;imdbDisplay;31
BD;\N;\N;2024
XAS;en;dvd;5
RU;ru;\N;7
DZ;fr;working;2
AU;fr;working;1
HR;\N;\N;3528
DZ;ar;imdbDisplay;12
SK;\N;working;15
